node_name,L1-dcache-load-misses,L1-dcache-loads,branch-misses,branches:u,cache-misses,cache-references,context-switches,cpu-cycles,instructions
behavior_planning_container,27122368,591969688,11320980,,27122368,591969688,0,3928041096,1476922213
control_container,51354674,1195616133,20647945,,51337258,1195349779,0,7014815803,3010851176
ekf_localizer,19320321,363804940,12815084,,19320321,363804940,0,2710024437,853268611
map_based_prediction,7620981,129354673,5206576,,7620981,129354673,0,1151347595,291705598
mission_planner_container,15317637,297034019,8527475,,15317637,297034019,0,2243552919,718518676
motion_planning_container,18280550,376893089,9559624,,18280550,376870572,0,2614216182,920328948
multi_object_tracker,18280015,320253025,12887274,,18278470,320248722,0,2585404149,733746631
ndt_scan_matcher,10849973,224767239,7342821,,10849973,224767239,0,1691995498,535674725
shape_estimation,6234170,110366283,4174788,,6234170,110366283,0,939189745,258193631
velocity_smoother_container,9249692,178674137,5441322,,9249692,178674137,0,1348206181,433062919
