node_name,hotspot,arithmetic_intensity,performance_gflops,bound
behavior_planning_container,aggregate,0.8508,1.4769,Compute
control_container,aggregate,0.9164,3.0109,Compute
ekf_localizer,aggregate,0.6901,0.8533,Compute
map_based_prediction,aggregate,0.5981,0.2917,Compute
mission_planner_container,aggregate,0.7329,0.7185,Compute
motion_planning_container,aggregate,0.7866,0.9203,Compute
multi_object_tracker,aggregate,0.6272,0.7337,Compute
ndt_scan_matcher,aggregate,0.7714,0.5357,Compute
shape_estimation,aggregate,0.6471,0.2582,Compute
velocity_smoother_container,aggregate,0.7315,0.4331,Compute
