node_name,weighted_ai,max_performance_gflops,dominant_bound,n_hotspots
behavior_planning_container,0.8508,1.4769,Compute,1
control_container,0.9164,3.0109,Compute,1
ekf_localizer,0.6901,0.8533,Compute,1
map_based_prediction,0.5981,0.2917,Compute,1
mission_planner_container,0.7329,0.7185,Compute,1
motion_planning_container,0.7866,0.9203,Compute,1
multi_object_tracker,0.6272,0.7337,Compute,1
ndt_scan_matcher,0.7714,0.5357,Compute,1
shape_estimation,0.6471,0.2582,Compute,1
velocity_smoother_container,0.7315,0.4331,Compute,1
