,caret_latency_ms,caret_pct_total,caret_rank,perf_ops_per_byte,perf_cache_hit_rate,perf_raw_bottleneck,perf_bottleneck,mperf_arithmetic_intensity,mperf_peak_gflops,mperf_raw_bound,mperf_n_hotspots,mperf_bottleneck
autonomous_emergency_braking,60.0,5.0,10.0,,,,,,,,,
behavior_path_planner,130.0,10.83,3.0,,,,,,,,,
behavior_planning_container,,,,0.8508442027674353,95.41828432269322,memory,memory,0.8508,1.4769,Compute,1.0,compute
control_container,,,,0.9163822038372208,95.70525222810116,memory,memory,0.9164,3.0109,Compute,1.0,compute
ekf_localizer,110.0,9.17,5.0,0.6900673154899962,94.68937365171568,memory,memory,0.6901,0.8533,Compute,1.0,compute
euclidean_cluster,100.0,8.33,6.0,,,,,,,,,
lidar_centerpoint,150.0,12.5,1.0,,,,,,,,,
map_based_prediction,80.0,6.67,8.0,0.5980726062366511,94.10846100627536,memory,memory,0.5981,0.2917,Compute,1.0,compute
mission_planner,70.0,5.83,9.0,,,,,,,,,
mission_planner_container,,,,0.7329364387274617,94.84313714248331,memory,memory,0.7329,0.7185,Compute,1.0,compute
motion_planning_container,,,,0.7866360592268832,95.14938247818404,memory,memory,0.7866,0.9203,Compute,1.0,compute
motion_velocity_planner,120.0,10.0,4.0,,,,,,,,,
multi_object_tracker,90.0,7.5,7.0,0.6272292543837094,94.29241438159433,memory,memory,0.6272,0.7337,Compute,1.0,compute
ndt_scan_matcher,140.0,11.67,2.0,0.7714228946122723,95.17279606749096,memory,memory,0.7714,0.5357,Compute,1.0,compute
occupancy_grid_map_node,50.0,4.17,11.0,,,,,,,,,
pointcloud_concatenate_data,10.0,0.83,15.0,,,,,,,,,
shape_estimation,40.0,3.33,12.0,0.6471231109153264,94.35138175306676,memory,memory,0.6471,0.2582,Compute,1.0,compute
trajectory_follower_controller,30.0,2.5,13.0,,,,,,,,,
velocity_smoother,20.0,1.67,14.0,,,,,,,,,
velocity_smoother_container,,,,0.7315495596366884,94.8231500342996,memory,memory,0.7315,0.4331,Compute,1.0,compute
